Investor ID,Deal ID,Ticker,Investor Name,Portfolio Company ID,Deal Date,Deal Type 1,Deal Type 2,Portfolio Company Name,Description,Status,Deal No.,Company Industry Sector,Company Industry Group,Company Industry Code,Company Verticals,All Industries,Company Business Status,Company Financing Status,# of Employees at Company,Deal Class
41173-48,60693-85T,LOW,Lowe's Companies,128321-65,,Merger/Acquisition,,American Quality Improvements,"Provider of quality measuring and maintenance service. The company provides quality measuring, improvement and maintenance services in USA.",Acquirer,1,Business Products and Services (B2B),Commercial Services,Other Commercial Services,,Other Commercial Services*,Generating Revenue,Corporate Backed or Acquired,,Corporate
41494-87,102408-31T,MA,MasterCard,226521-37,06-Mar-2018,Merger/Acquisition,Corporate Divestiture,Oltio,"Provider of mobile payments and banking services. The company's services include security and authenticated payment methods which utilize mobile devices by authentication technology, enabling consumers to authenticate digital wallet purchases in South Africa using their bank PIN and mobile phone.",Acquirer,1,Information Technology,Software,Financial Software,"FinTech, Mobile, Mobile Commerce",Financial Software*,Generating Revenue,Corporate Backed or Acquired,,Corporate
10472-86,94401-55T,MCD,McDonald's,182667-43,12-Sep-2017,Merger/Acquisition,,Connaught Plaza Restaurants,"Operator of a fast food chain. The company's fast food chain offers burgers, pizza, soft drinks, baked breads, sandwiches and snacks, enabling customers to enjoy quality fast food products.",Acquirer,2,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure",Restaurants and Bars,,Restaurants and Bars*; Specialty Retail,Generating Revenue,Corporate Backed or Acquired,"6,500",Corporate
11242-00,25790-05T,MDT,Medtronic,56830-60,,Merger/Acquisition,,Corvascular,"Provider of technology for minimally invasive cardiac surgery. The company is the developer of the Transarrest platform, which enables surgeons to temporarily stop a patient's heart in order to place sutures on the coronary arteries.",Acquirer,3,Healthcare,Healthcare Devices and Supplies,Surgical Devices,Manufacturing,Surgical Devices*; Other Healthcare Technology Systems,Product Development,Formerly VC-Backed,25,Corporate
10414-36,93864-43T,MRK,Merck & Co.,97096-51,26-Oct-2017,Merger/Acquisition,,Rigontec,"Developer of RNA-based immunotherapeutics for cancer and viral diseases intended to harness one of the most essential pathways in the innate immune system. The company's RNA-based immunotherapeutics offers proprietary retinoic acid inducible gene I (RIG-I) activators for the treatment of cancer and is designed to initiate specific activation of multiple RIG-I pathways to kill tumor cells and to enable long-term immunity against the cancer associated with the tumor, enabling healthcare providers to generate effective therapies.",Acquirer,3,Healthcare,Pharmaceuticals and Biotechnology,Biotechnology,"Life Sciences, Oncology",Biotechnology*; Drug Discovery,Generating Revenue,Formerly VC-Backed,,Corporate
10361-98,58974-67T,MET,MetLife,125589-79,,Merger/Acquisition,,Libra Corretora de Seguros,"Provider insurance brokerage services. The company offers health insurance, life, welfare, automotive, claims, telemarketing and other insurance products.",Acquirer,1,Financial Services,Insurance,Multi-line Insurance,,Multi-line Insurance*,Generating Revenue,Corporate Backed or Acquired,,Corporate
11026-45,107532-19T,MSFT,Microsoft,108024-13,18-Jun-2018,Merger/Acquisition,,Flipgrid,"Provider of mobile video messaging application designed to create and share videos around specific topics. The company's mobile video messaging application offers online classrooms and enables to create or join a group to share videos in a private or public space, enabling educators and businesses to get a research tool for collecting qualitative data from individuals or focus groups and to expand collective knowledge base.",Acquirer,2,Information Technology,Software,Social/Platform Software,"EdTech, Mobile",Social/Platform Software*; Educational Software,Generating Revenue,Formerly VC-Backed,24,Corporate
10393-84,105460-03T,MDLZ,Mondelez International,66242-98,07-Jun-2018,Merger/Acquisition,,Tate's Bake Shop,"Provider of bakery and confectionery products intended to offer all-natural and authentic gourmet foods. The company's bakery and confectionery products are sold nationally in grocery and specialty food stores and offers all-natural baked cookies, cakes, brownies, pies and an ever-expanding line of bake shop delectable desserts including gluten free offerings to its customers.",Acquirer,4,Consumer Products and Services (B2C),Consumer Non-Durables,Food Products,Manufacturing,Food Products*; Specialty Retail,Profitable,Formerly PE-Backed,,Corporate
10045-81,26785-18T,MS,Morgan Stanley,12230-83,28-Jun-2013,Merger/Acquisition,Corporate Divestiture,Morgan Stanley Wealth Management,"Provider of financial services. The company offers wealth management, financial advisory and brokerage services.",Acquirer,1,Financial Services,Capital Markets/Institutions,Brokerage,,Brokerage*; Investment Banks; Private Equity; Other Capital Markets/Institutions,Profitable,Corporate Backed or Acquired,,Corporate
41454-10,92327-05T,NFLX,Netflix,184422-25,07-Aug-2017,Merger/Acquisition,,Millarworld,"Provider of comic book publishing services. The company's comic book publishing services include creation and development of comical characters and stories based on adventure, action, drama and fiction, enabling global franchises ranging across cinema, clothing, video-games and toys to produce motion pictures, documentaries and market general merchandises based on popular characters and content.",Acquirer,1,Consumer Products and Services (B2C),Media,Publishing,,Publishing*,Generating Revenue,Corporate Backed or Acquired,,Corporate
25280-11,104166-37T,NKE,Nike,97011-28,09-Apr-2018,Merger/Acquisition,,Invertex,"Provider of a scan-to-fit guided shopping experience platform intended to guide and tailor digital shopping experiences. The company's scan-to-fit guided shopping experience platform combines advanced 3D-digitization and deep learning technologies to deliver tailored services for in store, at home and online audiences, enabling retailers to improve their online sales-capabilities by improving the e-commerce experience and tailoring their existing product lines to their customers' specific needs.",Acquirer,4,Information Technology,Software,Application Software,"Artificial Intelligence & Machine Learning, Mobile",Application Software*; Clothing; Information Services (B2C),Generating Revenue,Formerly VC-Backed,,Corporate
41161-24,33689-26T,NVDA,Nvidia,61895-53,29-Jul-2013,Merger/Acquisition,Corporate Divestiture,The Portland Group,"Developer of compilers and software development tools. The company develops Fortran, C, and C++ compilers for computing systems and workstations, servers, and clusters.",Acquirer,1,Information Technology,Software,Software Development Applications,,Software Development Applications*; Other Software,Generating Revenue,Corporate Backed or Acquired,,Corporate
11912-05,52651-18T,OXY,Occidental Petroleum,109355-86,31-Jan-2011,Merger/Acquisition,Corporate Divestiture,Nations Petroleum (California),"Explorer and producer of oil and gas. The company explores, develops, produces, and markets crude oil and natural gas.",Acquirer,1,Energy,"Exploration, Production and Refining",Energy Production,Oil & Gas,Energy Production*,Generating Revenue,Corporate Backed or Acquired,,Corporate
11734-93,25607-80T,ORCL,Oracle,56727-64,,Merger/Acquisition,,University Planet,Provider of Web-based academic and resource-planning services. The company's products help college students by guiding them in the course-selection process and tying in to universities' back-end systems to ensure optimal use of resources based on projected demand.,Acquirer,2,Consumer Products and Services (B2C),Media,Information Services (B2C),SaaS,Information Services (B2C)*; Vertical Market Software; Business/Productivity Software,Product Development,Formerly VC-Backed,,Corporate
65280-97,89048-53T,,Oxy Capital,182130-58,03-Feb-2010,Merger/Acquisition,Public to Private,Caetano Coatings,"Provider of coating services. The company's range of services including liquid painting, acrylic powder painting, epoxy powder painting, cataphoresis painting, industrial grit blasting, industrial painting and coatings and special pavements are offered to clients in automotive and civil engineering sectors in Portugal.",Former Investor,2,Business Products and Services (B2B),Commercial Services,Other Commercial Services,,Other Commercial Services*,Profitable,Formerly PE-Backed,169,Individual
10727-11,106622-20T,PYPL,Paypal,54205-75,30-May-2018,Merger/Acquisition,,Jetlore,"Provider of an artificial intelligence powered platform designed to help top retailers to take most optimal decision for each unique consumer. The company's prediction platform takes the guesswork out of rule-driven automation and intuition-based marketing, enabling retailers to build stronger customer loyalty, higher conversions and increased revenues.",Acquirer,6,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Artificial Intelligence & Machine Learning, Big Data, Marketing Tech, SaaS",Media and Information Services (B2B)*; Database Software; Business/Productivity Software; Social/Platform Software,Generating Revenue,Formerly VC-Backed,20,Corporate
11024-47,81290-26T,PEP,Pepsico,158283-28,,Merger/Acquisition,,Marbo Product,"Producer of chips and snacks. The company is a seller of potato chips, salty snacks and confectionery items in Serbia.",Acquirer,1,Consumer Products and Services (B2C),Consumer Non-Durables,Food Products,,Food Products*,Generating Revenue,Corporate Backed or Acquired,"1,000",Corporate
11597-86,74654-47T,PFE,Pfizer,164315-98,22-Dec-2016,Merger/Acquisition,Corporate Divestiture,AstraZeneca (Antibiotics Business),"Operator of a pharmaceutical business. The business unit develops late-stage small molecule anti-infectives such as Merrem, Zinforo and Zavicefta and ATM-AVI and CXL which are in clinical development.",Acquirer,1,Healthcare,Pharmaceuticals and Biotechnology,Pharmaceuticals,,Pharmaceuticals*,Generating Revenue,Corporate Backed or Acquired,,Corporate
41648-77,37217-62T,PM,Philip Morris International,66058-12,26-Jun-2014,Merger/Acquisition,,Nicocigs,Manufacturer and online retailer of electronic cigarettes. The company provides electronic smoking products such as electronic cigarettes and cigars.,Acquirer,1,Consumer Products and Services (B2C),Retail,Other Retail,"E-Commerce, Manufacturing",Other Retail*; Other Consumer Durables; Internet Retail,Generating Revenue,Corporate Backed or Acquired,84,Corporate
10215-01,101880-91T,PG,Procter & Gamble,226130-50,06-Feb-2018,Merger/Acquisition,,Snowberry,"Manufacturer of skin care products. The company's skin care products include body care, eye care, moisturizer, night car and sun care products, enabling the users to access a wide range of products for their use.",Acquirer,1,Consumer Products and Services (B2C),Consumer Non-Durables,Personal Products,Manufacturing,Personal Products*,Generating Revenue,Corporate Backed or Acquired,,Corporate
41742-46,92990-44T,QCOM,Qualcomm,149376-34,16-Aug-2017,Merger/Acquisition,,Scyfer,"Developer of artificial intelligence software designed to offer machine learning and predictive analytics techniques. The company's artificial intelligence software offers object recognition, natural language processing and concept mining, enabling businesses to automate its processes and push the boundaries of their production abilities.",Acquirer,3,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, Big Data",Business/Productivity Software*; Automation/Workflow Software; Other Software,Startup,Corporate Backed or Acquired,14,Corporate
10493-83,60693-31T,RTN,Raytheon,128325-79,,Merger/Acquisition,,Bright Aerospace,Manufacturer of aircraft parts. The company is engaged in the manufacture and supply of aircraft parts and auxiliary equipment in the United States.,Acquirer,1,Business Products and Services (B2B),Commercial Products,Aerospace and Defense,Manufacturing,Aerospace and Defense*,Generating Revenue,Corporate Backed or Acquired,,Corporate
10293-04,99411-04T,SLB,Schlumberger,223679-17,29-Dec-2017,Merger/Acquisition,Corporate Divestiture,Weatherford International (Hydraulic Fracturing Business),"Provider of hydraulic fracturing services. The company's hydraulic fracturing services includes pressure pumping and pump-down perforating techniques for creating cracks in the deep-rock formations, enabling oil and gas companies to avail reliable services that facilitates natural gas, petroleum and brine to flow more freely.",Acquirer,1,Consumer Products and Services (B2C),Other Consumer Products and Services,Other Consumer Products and Services,Oil & Gas,Other Consumer Products and Services*; Other Energy Services,Generating Revenue,Corporate Backed or Acquired,100,Corporate
41394-25,21842-83T,SPG,Simon Property Group,10456-39,22-Mar-2012,Merger/Acquisition,,Mills,"Mills is a real estate investment trust that develops, acquires, leases, and manages shopping centers offering a mix of retail, dining, and entertainment. The company's property portfolio consists of 19 Mills Landmark Centers and 20 Twenty-First Century Retail and Entertainment Centers.",Acquirer,2,Financial Services,Other Financial Services,Real Estate Investment Trusts (REITs),,Real Estate Investment Trusts (REITs)*,Profitable,Formerly PE-Backed,"1,150",Corporate
11606-59,72708-94T,SO,Southern Company,41357-98,01-Sep-2016,Merger/Acquisition,Corporate Divestiture,Southern Natural Gas Company,Provider of oil and gas transportation services. The company engages in the oil and gas storage and transportation services in the United States.,Acquirer,4,Energy,Energy Services,Energy Transportation,"Infrastructure, Oil & Gas",Energy Transportation*; Energy Storage,Profitable,Corporate Backed or Acquired,5,Corporate
12409-84,91950-13T,SBUX,Starbucks,184052-53,31-Dec-2017,Merger/Acquisition,,East China (Starbucks / Uni-President Enterprises),"Operator of retail coffee stores chain in China. The company's coffee stores processes, makes and sells coffee beans, brewed coffee drinks, teas, juices and other beverages.",Acquirer,2,Consumer Products and Services (B2C),Consumer Non-Durables,Beverages,,"Beverages*; Other Restaurants, Hotels and Leisure; Specialty Retail",Generating Revenue,Corporate Backed or Acquired,,Corporate
13276-90,98642-71T,TGT,Target,121192-48,14-Dec-2017,Merger/Acquisition,,Shipt,"Operator of an online grocery marketplace intended to deliver groceries to the customer's door. The company's membership-based grocery marketplace and mobile application allow users to shop for groceries online and get them delivered to their door, enabling users to save time.",Acquirer,3,Information Technology,Software,Social/Platform Software,"FoodTech, Mobile, SaaS",Social/Platform Software*; Food Products; Specialty Retail,Generating Revenue,Formerly VC-Backed,300,Corporate
10632-52,69862-33T,TXN,Texas Instruments,41205-34,23-Sep-2011,Merger/Acquisition,Public to Private,National Semiconductor,"Manufacturer of semiconductors. The company produces power-management integrated circuits, display drivers, audio and operational amplifiers, communication interface products and data conversion products.",Acquirer,2,Information Technology,Semiconductors,General Purpose Semiconductors,Manufacturing,General Purpose Semiconductors*,Generating Revenue,Corporate Backed or Acquired,"5,000",Corporate
10043-83,64874-80T,GS,The Goldman Sachs Group,42797-71,,Merger/Acquisition,,JBWere,"Provider of wealth management services. The company provides wealth management services such as wealth strategies, advice and investments consultancy to Australia and New Zealand's corporates, government and individual clients.",Former Investor,2,Financial Services,Capital Markets/Institutions,Asset Management,,Asset Management*; Other Capital Markets/Institutions,Generating Revenue,Corporate Backed or Acquired,500,Corporate
11069-11,99054-01T,HD,The Home Depot,223489-63,19-Dec-2017,Merger/Acquisition,Corporate Divestiture,The Company Store,"Retailer of textiles and home decor products. The company's services include manufacturing and online retail of textile and home decor products including comforters, pillows, sheets, towels, quilts, duvets and mattress pads.",Acquirer,1,Consumer Products and Services (B2C),Consumer Durables,Home Furnishings,"E-Commerce, Manufacturing",Home Furnishings*; Other Consumer Durables; Internet Retail,Generating Revenue,Corporate Backed or Acquired,,Corporate
10612-18,24954-31T,DIS,The Walt Disney Company,56314-81,,Merger/Acquisition,,DotCast,Provider of broadband communications technology and digital data distribution products and services. The company enables cable operators to offer full digital services using existing infrastructure and antenna products for reception of digital and analog broadcast signals along with terrestrial datacasting solutions that enable broadcasters and content providers to send a high capacity data stream over the air using the existing television infrastructure.,Acquirer,4,Information Technology,Communications and Networking,Internet Service Providers,,Internet Service Providers*; Wireless Communications Equipment; Electronic Equipment and Instruments; Communication Software,Startup,Formerly VC-Backed,,Corporate
10396-99,76208-95T,USB,U.S. Bank,12112-66,,Merger/Acquisition,,Elavon,"Provider of payment processing services and fraud monitoring tools to merchants and financial institutions in the United States, Puerto Rico, Canada, and Europe. The company offers payment solutions, including credit and debit card processing, electronic check services, pre-paid and gift cards, dynamic currency conversion, multi-currency support, reporting, and cross-border acquiring; and POS solutions, including payment terminals, software and Internet products, and integrated solutions. The company provides Fusebox, a hosted payment gateway that provides multi-point connectivity in a merchant's enterprise.",Acquirer,5,Financial Services,Other Financial Services,Specialized Finance,,Specialized Finance*,Profitable,Formerly PE-Backed,"1,200",Corporate
41123-17,82567-63T,UNP,Union Pacific,170678-53,03-Jan-2017,Merger/Acquisition,Corporate Divestiture,Railex (Refrigerated and Cold Storage Distribution Assets),"Provider of cold storage distribution services. The company's cold storage distribution services ensures volumes of perishable and fragile foods reach east coast distributors and retailers faster and in peak selling condition, enabling the retailers to sell the foods in eatable condition.",Acquirer,1,Business Products and Services (B2B),Commercial Services,Other Commercial Services,,Other Commercial Services*,Generating Revenue,Corporate Backed or Acquired,,Corporate
11613-97,98255-35T,UPS,United Parcel Service,222796-27,30-Nov-2017,Merger/Acquisition,,Sandler & Travis Trade Advisory Services,"Provider of international trade and customs consulting services. The company's international trade and customs consulting services offers global compliance
management, worldwide consulting and managed services, global compliance reviews and training services, enabling clients worldwide to get comprehensive business process support.",Acquirer,1,Business Products and Services (B2B),Commercial Services,Consulting Services (B2B),,Consulting Services (B2B)*,Generating Revenue,Corporate Backed or Acquired,750,Corporate
11613-79,77764-87T,UTX,United Technologies,162462-34,,Merger/Acquisition,Corporate Divestiture,Pilgrim House Group,"Manufacturer of power transmission equipment. The company manufactures, develops and markets mechanical power transmission equipment such as transformers, automation products and other related products in the United Kingdom.",Acquirer,4,Business Products and Services (B2B),Commercial Products,Electrical Equipment,Manufacturing,Electrical Equipment*; Industrial Supplies and Parts,Generating Revenue,Corporate Backed or Acquired,,Corporate
12752-20,103883-77T,UNH,UnitedHealth Group,89445-34,02-Apr-2018,Merger/Acquisition,Corporate Divestiture,Reliant Medical Group,"Provider of primary care services. The company's services are offered through a portfolio hospitals offering general treatment as well as special care along with offering benefit plan design, plan management, culture consulting, third party administration, bench-marking, reporting and insurance brokerage services, enabling patients to get a wide range of comprehensive and quality hospice and patient services.",Acquirer,3,Healthcare,Healthcare Services,Clinics/Outpatient Services,,Clinics/Outpatient Services*,Generating Revenue,Corporate Backed or Acquired,"2,600",Corporate
10995-40,103536-19T,VZ,Verizon Communications,127013-50,,Merger/Acquisition,,Talligent,"Developer of a billing and capacity reporting software designed to create detailed historical record of cloud configuration. The company's billing and capacity reporting software provides cloud management, cost and capacity management services for openstack and hybrid cloud environment and it is integrated with a cloud billing platform for various personas of tenants and usage patterns, enabling enterprises to create their own rate plans, on-board customers, make resource change requests of the root provider and customize the branding of their cloud offerings.",Acquirer,2,Information Technology,IT Services,Systems and Information Management,SaaS,Systems and Information Management*; Other IT Services; Business/Productivity Software,Generating Revenue,Formerly Accelerator/Incubator Backed,,Corporate
41641-21,101282-23T,V,Visa,110983-24,07-Mar-2018,Merger/Acquisition,Corporate Divestiture,Fraedom Holdings,"Provider of a web-based transaction management system. The company offers transaction management products to financial institutions, payment networks, processors, governments and technology companies, enabling them to unshackle themselves from the complexity, save money, free up staff and increase control over spending processes. It also provides expense management and accounts payable services.",Acquirer,5,Business Products and Services (B2B),Commercial Services,Other Commercial Services,SaaS,Other Commercial Services*; Other Financial Services; Business/Productivity Software; Financial Software,Generating Revenue,Corporate Backed or Acquired,224,Corporate
10326-34,60300-19T,WBA,Walgreens Boots Alliance,127194-13,,Merger/Acquisition,,Burlington Pharmacy Health Care,"Operator of a medical supplies store. The company offers wheelchairs, lift chair, canes and crutches and medical supplies for blood pressure, wound care, diabetic care, first aid and other ailments.",Acquirer,1,Healthcare,Healthcare Devices and Supplies,Medical Supplies,,Medical Supplies*,Generating Revenue,Corporate Backed or Acquired,,Corporate
59667-67,35197-75T,,Wall Financial,41119-12,08-Apr-2004,Merger/Acquisition,,Hastings Entertainment,"Retailer of multimedia entertainment. The company operates as a multimedia entertainment retailer that buys, sells, trades and rents various home entertainment products, including books, music, software, periodicals, new and used video games, video game consoles and electronics.",Former Investor,2,Consumer Products and Services (B2C),Retail,Specialty Retail,,"Specialty Retail*; Movies, Music and Entertainment",Generating Revenue/Not Profitable,Private Equity-Backed,"5,001",Corporate
11653-30,95122-72T,WMT,Walmart,97854-13,29-Sep-2017,Merger/Acquisition,,Parcel,"Provider of last-mile delivery services intended to offer perishable and non-perishable delivery to customers in New York City. The company's last-mile delivery platform offers around-the-clock services, delivering packages in scheduled two-hour windows, overnight or the same day an order is placed, enabling e-commerce companies to get their goods from their premises to customers' doors.",Acquirer,2,Business Products and Services (B2B),Commercial Services,Logistics,E-Commerce,Logistics*; Business/Productivity Software; Social/Platform Software,Generating Revenue,Formerly VC-Backed,6,Corporate
